frame_id,timestamp,global_id,track_id,x1,y1,x2,y2,confidence
1,0.0,1,1,581,174,744,553,0.8991
1,0.0,2,2,1046,161,1135,425,0.8936
1,0.0,3,3,153,191,260,479,0.8629
1,0.0,4,4,454,169,593,554,0.8411
1,0.0,5,5,0,172,60,482,0.838
1,0.0,6,6,59,214,107,344,0.6679
1,0.0,7,7,117,212,163,344,0.6038
2,0.0333,1,1,583,173,745,554,0.9008
2,0.0333,2,2,1048,163,1140,425,0.8991
2,0.0333,3,3,157,192,260,481,0.8745
2,0.0333,4,4,454,167,594,554,0.854
2,0.0333,5,5,0,169,62,484,0.8389
2,0.0333,6,6,61,212,113,344,0.6512
2,0.0333,7,7,117,211,164,345,0.6916
3,0.0667,1,1,583,173,745,554,0.901
3,0.0667,2,2,1049,163,1140,425,0.8992
3,0.0667,3,3,158,192,260,481,0.8746
3,0.0667,4,4,454,166,594,554,0.8543
3,0.0667,5,5,0,169,63,484,0.8389
3,0.0667,6,6,62,212,114,344,0.6512
3,0.0667,7,7,117,211,164,345,0.692
4,0.1,1,1,585,171,742,554,0.9013
4,0.1,2,2,1050,164,1142,424,0.9138
4,0.1,3,3,160,193,261,481,0.8805
4,0.1,4,4,454,165,590,555,0.8271
4,0.1,5,5,0,171,63,485,0.8545
4,0.1,6,6,63,212,115,343,0.6875
4,0.1,7,7,119,210,165,346,0.6922
5,0.1333,1,1,587,171,741,556,0.9012
5,0.1333,2,2,1052,162,1144,422,0.9153
5,0.1333,3,3,162,193,262,482,0.8777
5,0.1333,4,4,456,165,593,556,0.8293
5,0.1333,5,5,0,171,64,485,0.8461
5,0.1333,6,6,63,212,116,341,0.7039
5,0.1333,7,7,120,210,166,346,0.6931
6,0.1667,1,1,589,170,739,555,0.9041
6,0.1667,2,2,1054,161,1145,415,0.9087
6,0.1667,3,3,163,193,265,481,0.8939
6,0.1667,4,4,456,166,597,556,0.847
6,0.1667,5,5,0,175,66,487,0.8407
6,0.1667,6,6,63,212,116,340,0.702
6,0.1667,7,7,120,210,166,346,0.6804
6,0.1667,8,8,439,240,464,302,0.6976
7,0.2,1,1,591,169,737,555,0.9142
7,0.2,2,2,1055,159,1148,413,0.9005
7,0.2,3,3,165,192,268,482,0.9116
7,0.2,4,4,456,167,599,556,0.8577
7,0.2,5,5,0,172,70,488,0.8355
7,0.2,6,6,63,211,116,341,0.6192
7,0.2,7,7,120,210,168,346,0.7096
7,0.2,8,8,438,240,464,303,0.6951
8,0.2333,1,1,594,169,733,554,0.9241
8,0.2333,2,2,1056,157,1150,412,0.897
8,0.2333,3,3,167,191,273,483,0.9091
8,0.2333,4,4,457,170,601,558,0.8598
8,0.2333,5,5,0,169,74,488,0.8618
8,0.2333,6,6,65,211,117,341,0.6283
8,0.2333,7,7,121,210,168,345,0.7369
8,0.2333,8,8,438,239,464,305,0.7011
9,0.2667,1,1,594,169,731,554,0.9239
9,0.2667,2,2,1056,157,1151,412,0.8958
9,0.2667,3,3,168,191,274,483,0.909
9,0.2667,4,4,457,172,601,558,0.8587
9,0.2667,5,5,0,169,75,488,0.8614
9,0.2667,6,6,65,211,117,340,0.6335
9,0.2667,7,7,120,210,168,345,0.7366
9,0.2667,8,8,438,239,464,305,0.7013
10,0.3,1,1,596,170,726,555,0.9227
10,0.3,2,2,1057,155,1153,412,0.8712
10,0.3,3,3,171,189,276,481,0.8987
10,0.3,4,4,458,172,601,559,0.848
10,0.3,5,5,0,167,79,488,0.8663
10,0.3,6,6,68,211,116,342,0.5592
10,0.3,7,7,121,210,168,345,0.744
10,0.3,8,8,438,238,464,306,0.6765
11,0.3333,1,1,598,171,723,555,0.9081
11,0.3333,2,2,1059,153,1156,416,0.8595
11,0.3333,3,3,175,188,282,480,0.8883
11,0.3333,4,4,459,172,603,563,0.8478
11,0.3333,5,5,0,168,83,487,0.8738
11,0.3333,6,6,72,209,117,342,0.615
11,0.3333,7,7,121,209,169,345,0.7454
11,0.3333,8,8,438,238,464,306,0.6338
12,0.3667,1,1,602,173,728,556,0.9054
12,0.3667,2,2,1060,152,1160,424,0.8742
12,0.3667,3,3,177,187,286,479,0.8799
